
2025/01/28 (22:08:02) | ===> btop++ v.1.4.0
2025/01/28 (22:08:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/28 (22:08:14) | ===> btop++ v.1.4.0
2025/01/28 (22:08:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/28 (22:08:48) | ===> btop++ v.1.4.0
2025/01/28 (22:08:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/28 (22:09:12) | ===> btop++ v.1.4.0
2025/01/28 (22:09:12) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/30 (11:43:32) | ===> btop++ v.1.4.0
2025/01/30 (11:43:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/31 (15:17:33) | ===> btop++ v.1.4.0
2025/01/31 (15:17:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/31 (18:49:49) | ===> btop++ v.1.4.0
2025/01/31 (18:49:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/01/31 (19:49:57) | ===> btop++ v.1.4.0
2025/01/31 (19:49:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/01 (13:04:55) | ===> btop++ v.1.4.0
2025/02/01 (13:04:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/04 (15:18:47) | ===> btop++ v.1.4.0
2025/02/04 (15:18:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/04 (15:24:23) | ===> btop++ v.1.4.0
2025/02/04 (15:24:23) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/10 (18:16:25) | ===> btop++ v.1.4.0
2025/02/10 (18:16:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/20 (19:41:28) | ===> btop++ v.1.4.0
2025/02/20 (19:41:28) | WARNING: Failed to set locale UTF-8 continuing anyway.
